Type,Message
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still have the place at Give me a shout!?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still have the place at Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still have the place at Can we talk?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still own it? Give me a shout!?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Do you still own it? Can we talk?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Is the property still under your ownership? Give me a shout!?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Is the property still under your ownership? Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to ask something about {Address}. Is the property still under your ownership? Can we talk?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still have the place at Give me a shout!?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still have the place at Can we hop on a quick call?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still have the place at Can we talk?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still own it? Give me a shout!?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {Name}, I had a quick question about {Address}. Do you still own it? Can we talk?"
Main,"Hello {Name}, I had a quick question about {Address}. Is the property still under your ownership? Give me a shout!?"
Main,"Hello {Name}, I had a quick question about {Address}. Is the property still under your ownership? Can we hop on a quick call?"
Main,"Hello {Name}, I had a quick question about {Address}. Is the property still under your ownership? Can we talk?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still have the place at Give me a shout!?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still have the place at Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still have the place at Can we talk?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still own it? Give me a shout!?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still own it? Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to check about {Address}. Do you still own it? Can we talk?"
Main,"Hello {Name}, I wanted to check about {Address}. Is the property still under your ownership? Give me a shout!?"
Main,"Hello {Name}, I wanted to check about {Address}. Is the property still under your ownership? Can we hop on a quick call?"
Main,"Hello {Name}, I wanted to check about {Address}. Is the property still under your ownership? Can we talk?"
Main,"Hi {Name}, I wanted to ask something about {Address}. Do you still have the place at Give me a shout!?"
Main,"Hi {Name}, I wanted to ask something about {Address}. Do you still have the place at Can we hop on a quick call?"
Main,"Hi {Name}, I wanted to ask something about {Address}. Do you still have the place at Can we talk?"
Main,"Hi {Name}, I wanted to ask something about {Address}. Do you still own it? Give me a shout!?"
Main,"Hi {Name}, I wanted to ask something about {Address}. Do you still own it? Can we hop on a quick call?"
